,mesh_area,mesh_rectangularity,mesh_diameter,mesh_eccentricity,mesh_a3,mesh_d1,mesh_d2,mesh_d3,mesh_d4,mesh_compactness,ID,class
0,0.568334335748328,0.01777738107359272,1.0000123956736737,6.5111231141310055,"[0.154481 0.21207  0.169053 0.133166 0.104818 0.081811 0.064559 0.041205
 0.027848 0.010989]",[0.087 0.364 0.276 0.113 0.117 0.043 0.    0.    0.    0.   ],[0.0849 0.2313 0.2448 0.2089 0.1373 0.0607 0.0233 0.0085 0.0003 0.    ],"[9.23780e-02 3.83845e-01 3.98044e-01 1.14925e-01 1.04420e-02 3.66000e-04
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[2.53692e-01 5.76040e-01 1.58787e-01 1.12420e-02 2.39000e-04 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",38.53131356337044,1624,dragon
1,0.33246380862992503,0.12604659741680707,1.000005615329234,185.60406244882478,"[0.473409 0.119272 0.065371 0.030624 0.044711 0.038624 0.0395   0.048249
 0.077641 0.062595]",[0.319 0.211 0.295 0.135 0.036 0.004 0.    0.    0.    0.   ],"[2.849e-01 2.860e-01 1.856e-01 1.397e-01 6.070e-02 3.380e-02 7.500e-03
 1.700e-03 1.000e-04 0.000e+00]","[7.00651e-01 2.94438e-01 4.81200e-03 9.90000e-05 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[0.997697 0.002303 0.       0.       0.       0.       0.       0.
 0.       0.      ]",29.353445403313714,1432,ship
2,0.603552119372949,0.030686018606844983,1.0600803676146446,8.582623602966096,"[0.151264 0.265378 0.18232  0.117451 0.077769 0.070651 0.056418 0.043921
 0.026446 0.008382]",[0.108 0.228 0.323 0.185 0.101 0.055 0.    0.    0.    0.   ],[0.0824 0.2034 0.2535 0.2075 0.1455 0.0657 0.0291 0.0112 0.0017 0.    ],"[2.33433e-01 5.07523e-01 2.26670e-01 3.22510e-02 1.22000e-04 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[0.20183  0.49522  0.261381 0.039662 0.001907 0.       0.       0.
 0.       0.      ]",34.53069014782031,0,ant
3,3.4001491203776175,0.11727175089463665,1.0586217305322048,2.8733063129964798,"[0.130422 0.169431 0.221102 0.186305 0.113644 0.068847 0.04903  0.040049
 0.017294 0.00386 ]",[0.005 0.062 0.208 0.403 0.29  0.032 0.    0.    0.    0.   ],[0.0586 0.0775 0.1466 0.1969 0.2114 0.1798 0.1064 0.021  0.0018 0.    ],"[0.073123 0.28622  0.259039 0.245248 0.133207 0.003163 0.       0.
 0.       0.      ]","[0.140823 0.27966  0.263959 0.253043 0.060684 0.001831 0.       0.
 0.       0.      ]",73.98216572392516,385,castle
4,0.71103649428404,0.12912735124719293,1.0099352244426372,127.85729093154907,"[0.362274 0.155775 0.081428 0.061053 0.062016 0.053096 0.06639  0.074344
 0.056882 0.026666]",[0.16  0.261 0.25  0.194 0.097 0.038 0.    0.    0.    0.   ],[0.1711 0.2556 0.1907 0.1572 0.1053 0.066  0.0381 0.015  0.001  0.    ],"[4.62844e-01 5.01451e-01 3.56930e-02 4.00000e-06 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[8.51926e-01 1.48066e-01 8.00000e-06 0.00000e+00 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",42.860969602102884,79,shark
5,1.045623752885449,0.029954507691032767,1.0194217964125547,53.09922372236706,"[0.112186 0.236503 0.205625 0.13728  0.084355 0.065162 0.061368 0.050521
 0.034158 0.012557]",[0.111 0.345 0.421 0.107 0.014 0.002 0.    0.    0.    0.   ],[0.1498 0.2939 0.2548 0.1731 0.0973 0.0275 0.0032 0.0004 0.     0.    ],"[3.65905e-01 4.39238e-01 1.88349e-01 6.26400e-03 2.44000e-04 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[0.59508  0.403866 0.001054 0.       0.       0.       0.       0.
 0.       0.      ]",153.51291585269465,1206,fighter_jet
6,0.8910156052380084,0.011329804441076938,1.0187773019526887,9.422511497114591,"[0.216009 0.277388 0.159474 0.114979 0.090161 0.063643 0.043038 0.021223
 0.010636 0.003449]",[0.155 0.198 0.354 0.155 0.095 0.043 0.    0.    0.    0.   ],[0.089  0.1825 0.3122 0.1789 0.1497 0.0455 0.0353 0.0061 0.0008 0.    ],"[0.181213 0.397692 0.379079 0.04148  0.000536 0.       0.       0.
 0.       0.      ]","[2.41667e-01 5.64660e-01 1.81023e-01 1.22780e-02 3.72000e-04 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",929.4764457372003,19,spider
7,1.4516060990311728,0.06538736569769499,1.3288832836306579,11.351621318684064,"[0.282899 0.178043 0.138875 0.126072 0.097971 0.098687 0.036766 0.020796
 0.012767 0.007124]",[0.    0.    0.197 0.216 0.268 0.035 0.039 0.168 0.077 0.   ],[0.0726 0.1104 0.1382 0.0774 0.0754 0.0405 0.0618 0.1609 0.1292 0.0835],"[3.38680e-02 1.00083e-01 1.83278e-01 1.98729e-01 1.35224e-01 1.08839e-01
 2.39776e-01 2.03000e-04 0.00000e+00 0.00000e+00]","[3.05810e-01 2.25255e-01 2.18097e-01 1.70976e-01 5.72730e-02 2.25490e-02
 4.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00]",13.654182645624878,580,eyeglasses
8,1.7017507309458637,0.032273115938420895,1.0007151388706979,5.045875089321173,"[0.239131 0.194118 0.153713 0.113681 0.082958 0.065643 0.057239 0.046819
 0.028177 0.018516]",[0.735 0.163 0.028 0.017 0.043 0.014 0.    0.    0.    0.   ],"[5.734e-01 2.510e-01 5.960e-02 5.370e-02 5.340e-02 8.200e-03 5.000e-04
 1.000e-04 1.000e-04 0.000e+00]","[8.57204e-01 1.32234e-01 8.80800e-03 1.73900e-03 1.50000e-05 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[6.33436e-01 3.43198e-01 2.26880e-02 6.66000e-04 1.20000e-05 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",197.9347521154707,1626,hat
9,0.6540989138454755,0.10842399925238931,1.0008429383199944,31.29031447646892,"[0.391935 0.200421 0.087733 0.065462 0.057715 0.047621 0.042327 0.049231
 0.035417 0.022096]",[0.227 0.33  0.268 0.064 0.101 0.01  0.    0.    0.    0.   ],"[1.933e-01 3.242e-01 2.070e-01 1.431e-01 7.660e-02 4.340e-02 9.500e-03
 2.600e-03 3.000e-04 0.000e+00]","[3.80225e-01 6.02793e-01 1.69660e-02 1.60000e-05 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[0.563409 0.433545 0.003046 0.       0.       0.       0.       0.
 0.       0.      ]",61.78179239471607,1433,ship
10,0.572266053203693,0.09277649602677308,1.021163899808449,11.06981542047023,"[0.197153 0.134058 0.101959 0.124129 0.129915 0.087538 0.10433  0.072085
 0.037368 0.011465]",[0.039 0.799 0.09  0.037 0.023 0.012 0.    0.    0.    0.   ],[0.2116 0.2606 0.3558 0.1335 0.0283 0.0079 0.0019 0.0004 0.     0.    ],"[3.8841e-01 5.4051e-01 6.2082e-02 8.9930e-03 5.0000e-06 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]","[5.53493e-01 4.25735e-01 2.06470e-02 1.25000e-04 0.00000e+00 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",7.4308117054506795,1,ant
11,0.8437976996142519,0.04710212189954267,1.0564513461821137,46.15869095435646,"[0.276631 0.119727 0.066407 0.090629 0.078635 0.070533 0.043049 0.089428
 0.117964 0.046983]",[0.07  0.268 0.21  0.289 0.16  0.003 0.    0.    0.    0.   ],[0.1237 0.1557 0.2337 0.2081 0.1484 0.1117 0.0181 0.0006 0.     0.    ],"[3.49497e-01 3.53193e-01 1.44818e-01 1.19322e-01 3.31210e-02 4.90000e-05
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[0.451925 0.474124 0.071026 0.002925 0.       0.       0.       0.
 0.       0.      ]",70.51979016728014,1208,fighter_jet
12,2.0412692068010743,0.20219653616416045,1.0394577503650642,10.930679993125459,"[0.091809 0.216474 0.159249 0.189805 0.161752 0.085132 0.048046 0.028229
 0.014379 0.005125]",[0.042 0.226 0.57  0.107 0.024 0.007 0.024 0.    0.    0.   ],[0.1144 0.2665 0.2253 0.2072 0.1306 0.025  0.0184 0.0118 0.0008 0.    ],"[9.91810e-02 4.52481e-01 4.22257e-01 2.60200e-02 6.10000e-05 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]","[3.44413e-01 5.53877e-01 9.97830e-02 1.92500e-03 2.00000e-06 0.00000e+00
 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00]",46.23709266707136,190,human
13,3.7158580791908227,0.0944523733719958,1.3764615716728164,3.148520914686708,"[0.167167 0.225197 0.168139 0.173805 0.124955 0.06723  0.042259 0.018416
 0.009789 0.003036]",[0.    0.    0.037 0.436 0.317 0.134 0.071 0.005 0.    0.   ],[0.047  0.0819 0.0997 0.133  0.1428 0.1781 0.1936 0.0909 0.0269 0.0048],"[0.072027 0.18218  0.250093 0.290449 0.168748 0.035258 0.001245 0.
 0.       0.      ]","[8.20330e-02 2.92938e-01 3.22951e-01 2.49702e-01 4.98200e-02 2.55500e-03
 1.00000e-06 0.00000e+00 0.00000e+00 0.00000e+00]",64.63240805910678,386,castle
